9.79,0
9.82,0.057855
9.77,0.115711
9.77,0.173567
9.84,0.234053
9.79,0.290857
9.79,0.288227
9.61,0.288227
9.86,0.28402
9.75,0.271922
9.82,0.265085
9.84,0.255091
9.82,0.237208
9.73,0.219326
9.82,0.204599
9.81,0.195657
9.82,0.190397
9.81,0.187242
9.84,0.18882
9.79,0.187242
9.82,0.18619
9.82,0.184612
9.79,0.180404
9.79,0.179352
9.82,0.175144
9.82,0.173567
9.81,0.173567
9.81,0.173567
9.79,0.170937
9.75,0.1783
9.79,0.17567
9.79,0.173041
9.77,0.164099
9.84,0.155158
9.81,0.143061
9.79,0.130438
9.79,0.106243
9.79,0.092569
9.79,0.081523
9.75,0.067322
9.77,0.053648
9.81,0.051018
9.82,0.048388
9.75,0.039447
9.82,0.030505
9.81,0.017357
9.81,0.006837
9.81,-0.003156
9.79,-0.010519
9.77,-0.012623
9.79,-0.006311
9.88,-0.006311
9.79,-0.013675
9.81,-0.021038
9.82,-0.031557
9.77,-0.042076
9.79,-0.04944
9.81,-0.04944
9.81,-0.047336
9.82,-0.04418
9.81,-0.04418
9.81,-0.04418
9.81,-0.047336
9.82,-0.055751
9.81,-0.068374
9.81,-0.076789
9.79,-0.089412
9.82,-0.100983
9.77,-0.11045
9.81,-0.118865
9.82,-0.128332
9.81,-0.134644
9.79,-0.136747
9.79,-0.139903
9.75,-0.139903
9.79,-0.136747
9.77,-0.134644
9.79,-0.131488
9.82,-0.125177
9.81,-0.116761
9.81,-0.11045
9.81,-0.104139
9.77,-0.097827
9.77,-0.094672
9.82,-0.092568
9.79,-0.089412
9.81,-0.083101
9.81,-0.076789
9.79,-0.074685
9.82,-0.074685
9.81,-0.07153
9.81,-0.069426
9.81,-0.076789
9.82,-0.084153
9.79,-0.084153
9.75,-0.090464
9.81,-0.096775
9.79,-0.092568
9.79,-0.08836
9.81,-0.08836
9.79,-0.085204
9.79,-0.085204
9.79,-0.085204
9.79,-0.083101
9.79,-0.079945
9.81,-0.076789
9.81,-0.079945
9.77,-0.087308
9.81,-0.085204
9.75,-0.087308
9.81,-0.090464
9.81,-0.084153
9.82,-0.073633
9.82,-0.073633
9.81,-0.070478
9.82,-0.068374
9.81,-0.070478
9.81,-0.070478
9.77,-0.073633
9.79,-0.079945
9.79,-0.086256
9.79,-0.089412
9.81,-0.090464
9.82,-0.089412
9.79,-0.085204
9.82,-0.076789
9.81,-0.075737
9.79,-0.078893
9.79,-0.080997
9.82,-0.087308
9.82,-0.098879
9.79,-0.108346
9.82,-0.119917
9.81,-0.131488
9.82,-0.147266
9.77,-0.158837
9.79,-0.167252
9.82,-0.179875
9.81,-0.192498
9.79,-0.198809
9.79,-0.205121
9.79,-0.21038
9.79,-0.21038
9.44,-0.21038
9.92,-0.21038
9.77,-0.203017
9.98,-0.198809
9.63,-0.191446
9.71,-0.184083
10.32,-0.17672
9.92,-0.17672
9.69,-0.173564
9.69,-0.173564
9.69,-0.173564
9.73,-0.168304
9.81,-0.164097
9.79,-0.158837
9.79,-0.15463
9.79,-0.152526
9.73,-0.152526
9.81,-0.152526
9.88,-0.15463
9.84,-0.157785
9.77,-0.160941
9.81,-0.169356
10.11,-0.175668
10.57,-0.174616
9.33,-0.17672
9.73,-0.17672
9.81,-0.169356
9.73,-0.165149
9.84,-0.172512
9.75,-0.168304
9.79,-0.17146
9.86,-0.178823
9.88,-0.187238
9.84,-0.187238
9.79,-0.187238
9.79,-0.178823
9.84,-0.17146
9.81,-0.174616
9.81,-0.170408
9.81,-0.17672
9.79,-0.183031
9.81,-0.18829
9.79,-0.187238
9.77,-0.19355
9.77,-0.189342
9.79,-0.189342
9.79,-0.181979
9.81,-0.17146
9.79,-0.160941
9.88,-0.158837
9.77,-0.148318
9.9,-0.14937
9.77,-0.148318
9.77,-0.147266
9.81,-0.145163
9.79,-0.147266
9.79,-0.144111
9.79,-0.144111
9.75,-0.140955
9.82,-0.138851
9.77,-0.138851
9.81,-0.138851
9.82,-0.140955
9.79,-0.144111
9.82,-0.147266
9.79,-0.147266
9.81,-0.144111
9.79,-0.137799
9.81,-0.134644
9.77,-0.128332
9.79,-0.123073
9.81,-0.116761
9.82,-0.11045
9.84,-0.100983
9.79,-0.094672
9.79,-0.089412
9.81,-0.083101
9.77,-0.076789
